epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,1410.83,0.50578,0.54195,0.89657,0.82328,0.75757,0.86412,0.76979,0.51844,0.76467,0.89556,0.000449528,0.000449528,0.000449528
95,1425.61,0.48917,0.52627,0.88723,0.8628,0.7036,0.8275,0.74294,0.50653,0.76447,0.86217,0.000445405,0.000445405,0.000445405
96,1440.41,0.50196,0.54492,0.90306,0.72696,0.77509,0.81554,0.72719,0.5108,0.81687,0.87628,0.000441282,0.000441282,0.000441282
97,1455.22,0.50777,0.54055,0.88982,0.82753,0.68863,0.82772,0.74399,0.49784,0.85831,0.85976,0.000437158,0.000437158,0.000437158
98,1469.89,0.49824,0.53031,0.88484,0.84692,0.70749,0.83975,0.75799,0.50011,0.75349,0.86648,0.000433035,0.000433035,0.000433035
99,1485.05,0.48354,0.51918,0.88384,0.87616,0.74446,0.84382,0.76324,0.50627,0.72989,0.86029,0.000428912,0.000428912,0.000428912
100,1500.62,0.49682,0.51549,0.88216,0.85853,0.71617,0.84083,0.76285,0.49857,0.76303,0.85457,0.000424788,0.000424788,0.000424788
101,1515.65,0.50473,0.52263,0.88665,0.82874,0.78732,0.87604,0.78778,0.50399,0.7018,0.8659,0.000420665,0.000420665,0.000420665
102,1530.69,0.48606,0.4995,0.88009,0.84651,0.75257,0.86861,0.78567,0.50836,0.66717,0.86224,0.000416542,0.000416542,0.000416542
103,1545.65,0.49072,0.53299,0.89131,0.83095,0.73405,0.84389,0.75841,0.50312,0.75028,0.84866,0.000412418,0.000412418,0.000412418
104,1560.76,0.4875,0.53344,0.88889,0.82236,0.78306,0.85952,0.76951,0.49431,0.7521,0.84865,0.000408295,0.000408295,0.000408295
105,1575.87,0.47889,0.50781,0.88616,0.9101,0.72229,0.85499,0.76703,0.49624,0.69794,0.8476,0.000404172,0.000404172,0.000404172
106,1590.66,0.47221,0.51571,0.88052,0.79482,0.79205,0.86163,0.77745,0.51024,0.69284,0.87428,0.000400048,0.000400048,0.000400048
107,1605.54,0.47521,0.50221,0.88715,0.82213,0.85892,0.88727,0.78825,0.51515,0.67226,0.86761,0.000395925,0.000395925,0.000395925
108,1620.58,0.47358,0.52124,0.88016,0.86886,0.79282,0.87645,0.78746,0.5008,0.69969,0.87269,0.000391802,0.000391802,0.000391802
109,1635.63,0.46376,0.50916,0.87959,0.84538,0.77625,0.85681,0.76817,0.49794,0.64037,0.86963,0.000387678,0.000387678,0.000387678
110,1650.64,0.47456,0.48993,0.87464,0.86147,0.7887,0.87647,0.78675,0.48342,0.64688,0.85856,0.000383555,0.000383555,0.000383555
111,1665.83,0.46511,0.48682,0.88583,0.81455,0.85221,0.88424,0.78734,0.49516,0.649,0.86906,0.000379431,0.000379431,0.000379431
112,1681.1,0.45996,0.50349,0.88741,0.85134,0.81013,0.88537,0.79122,0.49294,0.70903,0.86096,0.000375308,0.000375308,0.000375308
113,1696.19,0.48264,0.50422,0.88082,0.88256,0.74386,0.85382,0.77806,0.46708,0.70152,0.8578,0.000371185,0.000371185,0.000371185
114,1711.29,0.46543,0.4694,0.88649,0.80626,0.75348,0.84212,0.76879,0.46383,0.67624,0.85327,0.000367061,0.000367061,0.000367061
115,1726.31,0.43418,0.46783,0.8739,0.85669,0.7199,0.85287,0.76781,0.49735,0.70041,0.85883,0.000362938,0.000362938,0.000362938
116,1741.36,0.48053,0.49966,0.8875,0.82044,0.81944,0.85501,0.77137,0.49711,0.73878,0.86672,0.000358815,0.000358815,0.000358815
117,1756.38,0.45045,0.46695,0.87218,0.80874,0.75007,0.84019,0.75471,0.4934,0.77128,0.85683,0.000354691,0.000354691,0.000354691
118,1771.39,0.45444,0.46438,0.88383,0.82029,0.80629,0.87371,0.78646,0.47722,0.65725,0.85672,0.000350568,0.000350568,0.000350568
119,1786.37,0.46869,0.48043,0.88129,0.79149,0.81239,0.85655,0.77705,0.47342,0.67558,0.84741,0.000346445,0.000346445,0.000346445
120,1801.62,0.45117,0.4587,0.87639,0.89955,0.76451,0.87635,0.79066,0.47633,0.6534,0.84265,0.000342321,0.000342321,0.000342321
121,1816.85,0.45878,0.47832,0.88186,0.86706,0.71676,0.84279,0.76462,0.4929,0.72517,0.85285,0.000338198,0.000338198,0.000338198
122,1832.07,0.4614,0.47144,0.87388,0.88274,0.78066,0.87857,0.79683,0.4857,0.64231,0.85758,0.000334075,0.000334075,0.000334075
123,1847.26,0.44409,0.45254,0.87796,0.82468,0.79147,0.85884,0.77865,0.49204,0.72609,0.85481,0.000329951,0.000329951,0.000329951
124,1862.37,0.43655,0.44402,0.8728,0.87199,0.66731,0.81984,0.73216,0.49342,0.78041,0.86209,0.000325828,0.000325828,0.000325828
125,1877.21,0.45848,0.45949,0.87318,0.82911,0.78393,0.84142,0.75981,0.47409,0.70594,0.84526,0.000321705,0.000321705,0.000321705
126,1892.23,0.45908,0.45249,0.87549,0.87762,0.76251,0.85199,0.77347,0.48608,0.67488,0.84791,0.000317581,0.000317581,0.000317581
127,1907.2,0.45093,0.44674,0.86874,0.87978,0.74541,0.8538,0.77019,0.47627,0.72553,0.86145,0.000313458,0.000313458,0.000313458
128,1922.07,0.44487,0.45954,0.87329,0.86466,0.72854,0.85623,0.77476,0.47724,0.69183,0.85036,0.000309335,0.000309335,0.000309335
129,1937.05,0.43122,0.44502,0.86866,0.84204,0.76699,0.85193,0.77567,0.45499,0.67159,0.84361,0.000305211,0.000305211,0.000305211
130,1952.14,0.43748,0.44735,0.8726,0.90855,0.7448,0.86944,0.78698,0.46625,0.67621,0.84927,0.000301088,0.000301088,0.000301088
131,1967.21,0.44259,0.45318,0.87394,0.89034,0.77431,0.87655,0.80259,0.465,0.61817,0.84892,0.000296964,0.000296964,0.000296964
132,1982.5,0.4497,0.45814,0.8779,0.92333,0.77848,0.87288,0.78861,0.46386,0.60348,0.84683,0.000292841,0.000292841,0.000292841
